dni,firstname,lastname,phone,address,birthday
48237357,Maggie,Burns,416-555-2315,123 Main St,1990-10-07
73165489,Jared,Sanchez,646-555-8249,456 Oak Ave,1986-05-23
60321744,Miriam,Nguyen,905-555-1628,789 Elm St,1989-12-12
86590213,Jonas,Peterson,415-555-3387,456 Pine St,1982-09-19
29376418,Nia,Hall,212-555-9034,567 8th Ave,1992-02-18
50864937,Milo,Hughes,310-555-5432,321 Maple Ave,1981-11-03
78420189,Avery,Rivera,202-555-0187,654 Birch St,1985-07-15
24053590,Charlie,Martin,617-555-3221,987 Hilltop Rd,1984-04-02
43987345,Lena,Morris,647-555-4736,741 Forest Dr,1988-01-20
71728645,Devon,Evans,647-555-1083,852 Sunset Blvd,1983-06-30
21660398,Oliver,Garcia,212-555-6923,9630 Park Ave,1991-09-17
38167956,Hazel,Cooper,416-555-7102,246 Birch St,1986-12-01
29473157,Ellie,Collins,212-555-4816,321 Oak Ave,1990-04-14
61527984,Leo,Kim,310-555-3982,7533 Maple Dr,1989-01-26
39930548,Alison,Cruz,647-555-9007,456 Hilltop Rd,1987-08-11
68571405,Dean,Foster,905-555-7771,789 Forest Dr,1981-03-05
19175089,Maya,Bryant,310-555-2423,852 Sunset Blvd,1992-07-22
52670198,Isaac,Myers,617-555-8196,9630 Park Ave,1983-11-07
32501963,Emery,Sullivan,202-555-1469,246 Birch St,1984-09-26
48945120,Leila,Wallace,416-555-5731,321 Oak Ave,1980-06-12
29745813,Logan,Powell,212-555-6901,7533 Maple Dr,1992-03-01
56392781,Kieran,Lopez,310-555-3241,456 Hilltop Rd,1989-10-18
42796815,Isabel,Adams,905-555-7403,789 Forest Dr,1985-05-30
84960251,Nova,Bell,617-555-1367,852 Sunset Blvd,1986-02-10
74615534,Jameson,Gonzalez,202-555-7294,9630 Park Ave,1987-12-28
18430975,Reagan,Perez,416-555-4221,246 Birch St,1981-09-07
82123456,Samantha,Smith,416-555-1234,123 Main St,1994-02-02
49123457,John,Johnson,416-555-5678,456 Queen St,1982-07-22
46123458,Karen,Williams,905-555-8976,789 King St,1981-06-13
36123459,Steven,Jones,647-555-3456,321 First St,1988-05-01
33123460,Lisa,Brown,416-555-7890,654 Second St,1990-12-31
36123461,James,Davis,905-555-4321,987 Third St,1993-09-11
14123462,Mary,Miller,647-555-0987,321 Fourth St,1984-01-04
41123463,William,Moore,416-555-3456,654 Fifth St,1987-02-22
90123464,Dorothy,Taylor,905-555-7890,987 Sixth St,1985-11-18
19123465,Michael,Anderson,416-555-4321,654 Seventh St,1983-04-27
48123466,Margaret,Thompson,905-555-0987,321 Eighth St,1989-08-08
76123467,David,Jackson,647-555-3456,654 Ninth St,1982-12-01
57123468,Carol,White,416-555-7890,987 Tenth St,1986-03-29
61123469,Richard,Harris,905-555-4321,654 Eleventh St,1987-09-07
81123470,Susan,Martin,416-555-0987,321 Twelfth St,1992-05-15
26123471,Joseph,Thompson,905-555-3456,654 Thirteenth St,1983-07-17
32123472,Sharon,Allen,647-555-7890,987 Fourteenth St,1981-01-30
13123473,Christopher,King,416-555-4321,654 Fifteenth St,1991-11-27
71123474,Linda,Wright,905-555-0987,321 Sixteenth St,1984-09-03
82123475,Thomas,Scott,647-555-3456,654 Seventeenth St,1989-06-12
60123476,Karen,Green,416-555-7890,987 Eighteenth St,1985-05-08
58123477,Brian,Baker,905-555-4321,654 Nineteenth St,1990-04-25
98123478,Jessica,Adams,416-555-0987,321 Twentieth St,1982-12-16
40123479,Daniel,Nelson,905-555-3456,654 Twenty-First St,1983-11-24
67123480,Sandra,Carter,647-555-7890,987 Twenty-Second St,1988-02-07
94123481,Matthew,Mitchell,416-555-4321,654 Twenty-Third St,1985-10-05
